"Omega"	"theta"	"differential"	"overlap"	"feasibility"	"coex_1_2"	"coex_1_3"	"coex_2_3"	"coex_rate"
1.58734012345177	42.7286648766575	0.5887	0.1182	1	1	1	0	0.666666666666667
2.55305113595815	78.2391238177739	-0.166	0.747	1	1	1	1	1
0.406662628636542	26.3788576317685	0.2794	0.0959	0	0	0	0	0
0.189557207165536	46.2967059230715	0.0555	0.0319	0	0	0	0	0
0.449578937753992	60.4534626443175	0.0806	0	0	0	0	0	0
2.66859637302666	44.5472215022442	0.0094	0	0	0	0	1	0.333333333333333
0.359415331020729	28.4004204496104	0.0747	0.2615	0	0	0	1	0.333333333333333
0.229471114327106	53.6012728078267	0.1692	0.0665	0	0	0	1	0.333333333333333
0.34440042740004	48.1591765790323	-0.5057	0.0691	0	0	1	1	0.666666666666667
0.562822579417239	31.6706444444924	0.0658	0.0982	0	0	1	0	0.333333333333333
1.4044138296973	31.9635412916218	0.3532	0.5432	1	0	1	1	0.666666666666667
